line,selector,risk,props,comment
48,body,size-vh/%,"min-width: 320px min-height: 100vh margin: 0 overflow-x: hidden background:
    radial-gradient(circle at top left, rgba(255, 255, 255, 0.95), transparent 34%),
    linear-gradient(180deg, #edf8ff 0%, #f6fbff 52%, #eef5f8 100%)",要確認。線路外なら見えづらさの原因候補。
117,.app-shell,size-vh/%,"width: min(100%, 1100px) min-height: 100vh margin: 0 auto",要確認。線路外なら見えづらさの原因候補。
123,.app-header,position,"position: sticky top: 0 z-index: 20 display: grid grid-template-columns: 48px minmax(0, 1fr) 48px align-items: center min-height: var(--header-height) padding:
    max(8px, env(safe-area-inset-top))
    12px
    8px",要確認。線路外なら見えづらさの原因候補。
180,.main-content,size-vh/%,display: grid gap: 16px width: 100% padding: 18px 14px calc(30px + var(--safe-bottom)),要確認。線路外なら見えづらさの原因候補。
501,.time-addition-dialog,position / size-vh/%,"position: fixed z-index: 112 right: 0 bottom: 0 left: 0 max-height: min(88vh, 680px) padding: 10px 18px calc(22px + var(--safe-bottom)) overflow-y: auto",固定UI・モーダル系。端末高さ、safe-area、キーボードで見切れやすい。
648,.time-addition-dialog,pos-% / size-vh/%,"top: 50% bottom: auto left: 50% width: min(480px, calc(100vw - 40px)) max-height: min(82vh, 680px) padding: 20px 24px 24px border-radius: 24px transform: translate(-50%, calc(-50% + 24px)) scale(0.98)",固定UI・モーダル系。端末高さ、safe-area、キーボードで見切れやすい。
703,.restart-button,size-vh/%,"display: inline-flex align-items: center justify-content: center gap: 8px width: min(100%, 290px) min-height: 52px padding: 11px 16px border-radius: var(--radius-medium)",要確認。線路外なら見えづらさの原因候補。
809,.arrival-notice,position / pos-% / size-vh/%,"position: absolute z-index: 20 top: 12px left: 50% min-width: min(84%, 280px) margin: 0 padding: 9px 14px border: 2px solid rgba(52, 127, 189, 0.3)",線路内表示だが、残り時間や通知は重なり確認が必要。
848,.railway-track,size-vh/%,position: relative width: 100%,線路内表示だが、残り時間や通知は重なり確認が必要。
859,.railway-track--vertical,size-vh/%,"width: min(100%, 380px) height: 510px margin: 0 auto",線路内表示だが、残り時間や通知は重なり確認が必要。
865,.railway-track--circle,size-vh/%,"width: min(100%, 360px) height: 354px margin: 0 auto",線路内表示だが、残り時間や通知は重なり確認が必要。
871,.track-bed,position,"position: absolute z-index: 1 border-radius: 999px background:
    repeating-linear-gradient(
      90deg,
      #8a7564 0 9px,
      #c0a58d 9px 15px
    )",線路内の進行表現として許容。ただし親高さに依存。
893,.railway-track--vertical .track-bed,pos-%,"top: 36px bottom: 36px left: 35% width: 10px background:
    repeating-linear-gradient(
      180deg,
      #8a7564 0 9px,
      #c0a58d 9px 15px
    ) box-shadow:
    -7px 0 0 -3px #65564b,
    7px 0 0 -3px #65564b transform: translateX(-50%)",線路内の進行表現として許容。ただし親高さに依存。
910,.track-segment-list,position,position: absolute z-index: 2 pointer-events: none,線路内の進行表現として許容。ただし親高さに依存。
925,.railway-track--vertical .track-segment-list,pos-%,top: 36px bottom: 36px left: 35% width: 10px border-radius: 999px overflow: hidden transform: translateX(-50%),線路内の進行表現として許容。ただし親高さに依存。
935,.track-segment,position,"position: absolute transition:
    background-color 180ms ease,
    box-shadow 180ms ease,
    stroke 180ms ease,
    opacity 180ms ease",線路内の進行表現として許容。ただし親高さに依存。
979,.track-segment-unit-label,position / size-vh/%,position: absolute z-index: 4 max-width: 90% overflow: hidden color: #53697a font-size: 0.63rem font-weight: 800 text-overflow: ellipsis,線路内の進行表現として許容。ただし親高さに依存。
991,.railway-track--horizontal .track-segment-unit-label,pos-%,top: -25px left: 50% transform: translateX(-50%),線路内の進行表現として許容。ただし親高さに依存。
997,.railway-track--vertical .track-segment-unit-label,pos-%,top: 50% right: 18px transform: translateY(-50%),線路内の進行表現として許容。ただし親高さに依存。
1003,.train-position,position,"position: absolute z-index: 12 display: inline-flex align-items: flex-end gap: 1px will-change: left, top",線路内の進行表現として許容。ただし親高さに依存。
1017,.railway-track--vertical .train-position,pos-%,left: 35% transform: none,線路内の進行表現として許容。ただし親高さに依存。
1047,.station-list,position,position: absolute z-index: 8 inset: 0 margin: 0 padding: 0 list-style: none pointer-events: none,線路内の進行表現として許容。ただし親高さに依存。
1058,.station,position,position: absolute display: flex min-width: 0 align-items: center color: var(--color-muted) text-align: center,線路内の進行表現として許容。ただし親高さに依存。
1074,.railway-track--vertical .station,pos-% / size-vh/%,"left: 35% width: min(62%, 230px) flex-direction: row gap: 16px transform: translate(-11px, -50%) text-align: left",線路内の進行表現として許容。ただし親高さに依存。
1111,.railway-track--horizontal .station-label,size-vh/%,width: 100% margin-top: 13px,線路内の進行表現として許容。ただし親高さに依存。
1136,".station-name, .station-time",size-vh/%,max-width: 100% overflow-wrap: anywhere,線路内の進行表現として許容。ただし親高さに依存。
1212,/* 円形線路：スタートとゴールの間に切れ目を設ける */ .circle-track-svg,position / size-vh/%,position: absolute z-index: 1 inset: 0 width: 100% height: 100% overflow: visible,線路内の進行表現として許容。ただし親高さに依存。
1248,.circle-segment-label,position,"position: absolute z-index: 5 min-width: 43px padding: 3px 5px border-radius: 999px color: #53697a background: rgba(255, 255, 255, 0.9) font-size: 0.58rem",要確認。線路外なら見えづらさの原因候補。
1263,.circle-remaining-time,position / pos-%,position: absolute z-index: 6 top: 50% left: 50% display: grid min-width: 132px min-height: 82px place-items: center,要確認。線路外なら見えづらさの原因候補。
1398,.journey-progress-track span,size-vh/%,"display: block width: 0 height: 100% border-radius: inherit background: linear-gradient(90deg, var(--color-green), var(--color-primary)) transition: width 100ms linear",要確認。線路外なら見えづらさの原因候補。
1500,".secondary-button, .outline-button",size-vh/%,display: inline-flex align-items: center justify-content: center gap: 8px width: 100% min-height: 50px margin-top: 14px padding: 10px 14px,要確認。線路外なら見えづらさの原因候補。
1547,.preset-name-field input,size-vh/%,width: 100% min-height: 50px padding: 10px 13px border: 1px solid var(--color-border) border-radius: var(--radius-small) color: var(--color-text) background: #ffffff,要確認。線路外なら見えづらさの原因候補。
1643,.preset-name-input,size-vh/%,width: 100% min-height: 44px padding: 8px 10px border: 1px solid transparent border-radius: 10px color: var(--color-text) background: var(--color-surface-soft) font-weight: 800,要確認。線路外なら見えづらさの原因候補。
1849,.backdrop,position,"position: fixed z-index: 90 inset: 0 background: rgba(24, 43, 58, 0.48) opacity: 0 pointer-events: none transition: opacity 180ms ease",固定UI・モーダル系。端末高さ、safe-area、キーボードで見切れやすい。
1864,".side-menu, .settings-panel",position,"position: fixed z-index: 100 background: var(--color-surface) box-shadow: 0 0 34px rgba(27, 48, 64, 0.24) visibility: hidden pointer-events: none transition:
    transform 220ms ease,
    visibility 220ms ease",固定UI・モーダル系。端末高さ、safe-area、キーボードで見切れやすい。
1896,.settings-panel,size-vh/%,"right: 0 bottom: 0 left: 0 max-height: min(92vh, 820px) padding: 10px 18px calc(22px + var(--safe-bottom)) overflow-y: auto border-radius: 26px 26px 0 0 transform: translateY(104%)",固定UI・モーダル系。端末高さ、safe-area、キーボードで見切れやすい。
